frequency,raw
20.00,-1.05
20.20,-1.00
20.40,-0.95
20.61,-0.90
20.81,-0.85
21.02,-0.80
21.23,-0.75
21.44,-0.71
21.66,-0.65
21.87,-0.60
22.09,-0.54
22.31,-0.49
22.54,-0.44
22.76,-0.38
22.99,-0.32
23.22,-0.26
23.45,-0.20
23.69,-0.14
23.92,-0.09
24.16,-0.04
24.40,0.01
24.65,0.06
24.89,0.12
25.14,0.17
25.39,0.22
25.65,0.27
25.91,0.33
26.16,0.38
26.43,0.43
26.69,0.48
26.96,0.53
27.23,0.57
27.50,0.62
27.77,0.66
28.05,0.70
28.33,0.75
28.62,0.79
28.90,0.83
29.19,0.87
29.48,0.91
29.78,0.95
30.08,0.99
30.38,1.03
30.68,1.06
30.99,1.10
31.30,1.13
31.61,1.16
31.93,1.19
32.24,1.21
32.57,1.24
32.89,1.27
33.22,1.29
33.55,1.31
33.89,1.34
34.23,1.36
34.57,1.38
34.92,1.40
35.27,1.43
35.62,1.45
35.97,1.47
36.33,1.49
36.70,1.51
37.06,1.53
37.43,1.55
37.81,1.57
38.19,1.58
38.57,1.60
38.95,1.62
39.34,1.64
39.74,1.65
40.14,1.67
40.54,1.69
40.94,1.71
41.35,1.73
41.76,1.75
42.18,1.77
42.60,1.79
43.03,1.81
43.46,1.83
43.90,1.84
44.33,1.86
44.78,1.88
45.23,1.90
45.68,1.92
46.13,1.93
46.60,1.95
47.06,1.97
47.53,2.00
48.01,2.03
48.49,2.06
48.97,2.08
49.46,2.11
49.96,2.15
50.46,2.19
50.96,2.23
51.47,2.27
51.99,2.31
52.51,2.36
53.03,2.42
53.56,2.48
54.10,2.53
54.64,2.59
55.18,2.65
55.74,2.71
56.29,2.77
56.86,2.83
57.42,2.89
58.00,2.95
58.58,3.00
59.16,3.06
59.76,3.12
60.35,3.17
60.96,3.23
61.57,3.29
62.18,3.34
62.80,3.38
63.43,3.43
64.07,3.48
64.71,3.53
65.35,3.57
66.01,3.61
66.67,3.66
67.33,3.70
68.01,3.74
68.69,3.78
69.37,3.81
70.07,3.84
70.77,3.87
71.48,3.91
72.19,3.94
72.91,3.97
73.64,3.99
74.38,4.02
75.12,4.05
75.87,4.07
76.63,4.10
77.40,4.12
78.17,4.15
78.95,4.17
79.74,4.20
80.54,4.22
81.35,4.25
82.16,4.27
82.98,4.29
83.81,4.31
84.65,4.33
85.50,4.35
86.35,4.38
87.22,4.40
88.09,4.42
88.97,4.43
89.86,4.45
90.76,4.47
91.66,4.49
92.58,4.51
93.51,4.53
94.44,4.55
95.39,4.57
96.34,4.59
97.30,4.60
98.28,4.61
99.26,4.63
100.25,4.64
101.25,4.66
102.27,4.67
103.29,4.68
104.32,4.70
105.37,4.71
106.42,4.72
107.48,4.74
108.56,4.75
109.64,4.76
110.74,4.78
111.85,4.79
112.97,4.80
114.10,4.82
115.24,4.83
116.39,4.85
117.55,4.86
118.73,4.88
119.92,4.89
121.12,4.90
122.33,4.91
123.55,4.93
124.79,4.94
126.03,4.95
127.29,4.96
128.57,4.97
129.85,4.98
131.15,4.99
132.46,5.00
133.79,5.00
135.12,5.01
136.48,5.02
137.84,5.02
139.22,5.02
140.61,5.02
142.02,5.02
143.44,5.02
144.87,5.02
146.32,5.02
147.78,5.02
149.26,5.02
150.75,5.02
152.26,5.02
153.78,5.02
155.32,5.02
156.88,5.02
158.44,5.02
160.03,5.02
161.63,5.02
163.24,5.02
164.88,5.02
166.53,5.02
168.19,5.02
169.87,5.02
171.57,5.02
173.29,5.02
175.02,5.01
176.77,5.01
178.54,5.00
180.32,5.00
182.13,5.00
183.95,4.99
185.79,4.99
187.65,4.98
189.52,4.98
191.42,4.97
193.33,4.97
195.27,4.97
197.22,4.96
199.19,4.96
201.18,4.95
203.19,4.95
205.23,4.95
207.28,4.95
209.35,4.95
211.44,4.94
213.56,4.93
215.69,4.91
217.85,4.90
220.03,4.88
222.23,4.87
224.45,4.86
226.70,4.84
228.96,4.83
231.25,4.81
233.57,4.79
235.90,4.77
238.26,4.75
240.64,4.72
243.05,4.68
245.48,4.65
247.93,4.61
250.41,4.58
252.92,4.54
255.45,4.50
258.00,4.45
260.58,4.40
263.19,4.36
265.82,4.31
268.48,4.25
271.16,4.18
273.87,4.12
276.61,4.06
279.38,4.00
282.17,3.93
284.99,3.85
287.84,3.77
290.72,3.69
293.63,3.62
296.57,3.53
299.53,3.43
302.53,3.34
305.55,3.24
308.61,3.15
311.69,3.04
314.81,2.94
317.96,2.83
321.14,2.73
324.35,2.62
327.59,2.51
330.87,2.39
334.18,2.27
337.52,2.15
340.90,2.03
344.30,1.91
347.75,1.79
351.23,1.66
354.74,1.53
358.28,1.40
361.87,1.27
365.49,1.14
369.14,1.00
372.83,0.86
376.56,0.72
380.33,0.58
384.13,0.45
387.97,0.31
391.85,0.18
395.77,0.04
399.73,-0.09
403.72,-0.23
407.76,-0.36
411.84,-0.49
415.96,-0.62
420.12,-0.75
424.32,-0.88
428.56,-1.01
432.85,-1.14
437.18,-1.26
441.55,-1.39
445.96,-1.50
450.42,-1.60
454.93,-1.71
459.48,-1.81
464.07,-1.92
468.71,-2.00
473.40,-2.07
478.13,-2.14
482.91,-2.22
487.74,-2.29
492.62,-2.36
497.55,-2.39
502.52,-2.41
507.55,-2.43
512.62,-2.45
517.75,-2.48
522.93,-2.50
528.16,-2.47
533.44,-2.43
538.77,-2.40
544.16,-2.36
549.60,-2.32
555.10,-2.27
560.65,-2.19
566.25,-2.11
571.92,-2.03
577.64,-1.95
583.41,-1.86
589.25,-1.75
595.14,-1.65
601.09,-1.54
607.10,-1.43
613.17,-1.32
619.30,-1.20
625.50,-1.08
631.75,-0.97
638.07,-0.85
644.45,-0.73
650.89,-0.62
657.40,-0.51
663.98,-0.40
670.62,-0.28
677.32,-0.17
684.10,-0.08
690.94,-0.01
697.85,0.05
704.83,0.12
711.87,0.18
718.99,0.25
726.18,0.23
733.44,0.17
740.78,0.11
748.19,0.05
755.67,0.00
763.23,-0.06
770.86,-0.16
778.57,-0.27
786.35,-0.38
794.22,-0.48
802.16,-0.58
810.18,-0.61
818.28,-0.64
826.46,-0.67
834.73,-0.69
843.08,-0.72
851.51,-0.70
860.02,-0.66
868.62,-0.62
877.31,-0.58
886.08,-0.55
894.94,-0.51
903.89,-0.46
912.93,-0.41
922.06,-0.36
931.28,-0.32
940.59,-0.27
950.00,-0.22
959.50,-0.18
969.09,-0.13
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.08
1028.71,0.12
1039.00,0.16
1049.39,0.20
1059.88,0.24
1070.48,0.28
1081.19,0.32
1092.00,0.36
1102.92,0.39
1113.95,0.43
1125.09,0.46
1136.34,0.49
1147.70,0.52
1159.18,0.55
1170.77,0.58
1182.48,0.60
1194.30,0.63
1206.25,0.66
1218.31,0.68
1230.49,0.71
1242.80,0.73
1255.22,0.76
1267.78,0.78
1280.45,0.81
1293.26,0.83
1306.19,0.86
1319.25,0.88
1332.45,0.91
1345.77,0.93
1359.23,0.95
1372.82,0.98
1386.55,1.00
1400.41,1.02
1414.42,1.04
1428.56,1.07
1442.85,1.09
1457.28,1.12
1471.85,1.14
1486.57,1.17
1501.43,1.20
1516.45,1.22
1531.61,1.26
1546.93,1.30
1562.40,1.34
1578.02,1.38
1593.80,1.42
1609.74,1.46
1625.84,1.51
1642.10,1.56
1658.52,1.61
1675.10,1.66
1691.85,1.71
1708.77,1.76
1725.86,1.81
1743.12,1.86
1760.55,1.90
1778.15,1.95
1795.94,2.00
1813.90,2.05
1832.03,2.09
1850.36,2.13
1868.86,2.17
1887.55,2.21
1906.42,2.25
1925.49,2.29
1944.74,2.33
1964.19,2.36
1983.83,2.40
2003.67,2.44
2023.71,2.47
2043.94,2.51
2064.38,2.55
2085.03,2.59
2105.88,2.62
2126.94,2.66
2148.20,2.70
2169.69,2.74
2191.38,2.80
2213.30,2.85
2235.43,2.90
2257.78,2.96
2280.36,3.01
2303.17,3.07
2326.20,3.12
2349.46,3.18
2372.95,3.23
2396.68,3.29
2420.65,3.33
2444.86,3.33
2469.31,3.33
2494.00,3.33
2518.94,3.33
2544.13,3.33
2569.57,3.34
2595.27,3.34
2621.22,3.34
2647.43,3.30
2673.90,3.24
2700.64,3.19
2727.65,3.13
2754.93,3.08
2782.48,3.02
2810.30,2.94
2838.40,2.86
2866.79,2.77
2895.46,2.69
2924.41,2.61
2953.65,2.50
2983.19,2.38
3013.02,2.27
3043.15,2.15
3073.58,2.03
3104.32,1.88
3135.36,1.73
3166.72,1.57
3198.38,1.41
3230.37,1.22
3262.67,1.01
3295.30,0.80
3328.25,0.59
3361.53,0.36
3395.15,0.12
3429.10,-0.11
3463.39,-0.36
3498.03,-0.61
3533.01,-0.87
3568.34,-1.15
3604.02,-1.42
3640.06,-1.71
3676.46,-2.01
3713.22,-2.32
3750.36,-2.65
3787.86,-2.98
3825.74,-3.32
3864.00,-3.67
3902.64,-4.09
3941.66,-4.50
3981.08,-4.91
4020.89,-5.31
4061.10,-5.69
4101.71,-5.91
4142.73,-6.12
4184.15,-6.32
4226.00,-6.34
4268.26,-6.21
4310.94,-6.09
4354.05,-5.94
4397.59,-5.52
4441.56,-5.04
4485.98,-4.53
4530.84,-4.05
4576.15,-3.55
4621.91,-3.05
4668.13,-2.55
4714.81,-2.07
4761.96,-1.61
4809.58,-1.16
4857.67,-0.71
4906.25,-0.35
4955.31,0.00
5004.87,0.27
5054.91,0.54
5105.46,0.78
5156.52,0.89
5208.08,0.99
5260.16,1.10
5312.77,1.18
5365.89,1.11
5419.55,1.04
5473.75,0.97
5528.49,0.90
5583.77,0.83
5639.61,0.73
5696.00,0.62
5752.96,0.50
5810.49,0.39
5868.60,0.27
5927.28,0.27
5986.56,0.29
6046.42,0.30
6106.89,0.32
6167.96,0.34
6229.64,0.35
6291.93,0.44
6354.85,0.60
6418.40,0.76
6482.58,0.92
6547.41,1.09
6612.88,1.29
6679.01,1.49
6745.80,1.70
6813.26,1.95
6881.39,2.20
6950.21,2.47
7019.71,2.78
7089.91,3.08
7160.81,3.46
7232.41,3.85
7304.74,4.26
7377.79,4.66
7451.56,5.05
7526.08,5.42
7601.34,5.78
7677.35,6.11
7754.13,6.36
7831.67,6.61
7909.98,6.80
7989.08,6.88
8068.98,6.96
8149.67,7.04
8231.16,7.12
8313.47,7.01
8396.61,6.91
8480.57,6.81
8565.38,6.71
8651.03,6.48
8737.54,6.22
8824.92,5.97
8913.17,5.65
9002.30,5.33
9092.32,4.99
9183.25,4.65
9275.08,4.35
9367.83,4.10
9461.51,3.86
9556.12,3.64
9651.68,3.55
9748.20,3.46
9845.68,3.37
9944.14,3.28
10043.58,3.19
10144.02,3.10
10245.46,3.00
10347.91,2.91
10451.39,2.82
10555.91,2.67
10661.46,2.48
10768.08,2.28
10875.76,2.09
10984.52,1.84
11094.36,1.60
11205.31,1.37
11317.36,1.18
11430.53,1.00
11544.84,0.82
11660.29,0.67
11776.89,0.67
11894.66,0.68
12013.60,0.68
12133.74,0.69
12255.08,0.69
12377.63,0.71
12501.41,0.77
12626.42,0.83
12752.68,0.88
12880.21,0.94
13009.01,0.95
13139.10,0.96
13270.49,0.98
13403.20,0.99
13537.23,1.00
13672.60,1.01
13809.33,1.02
13947.42,1.11
14086.90,1.26
14227.77,1.41
14370.04,1.56
14513.74,1.79
14658.88,2.03
14805.47,2.27
14953.52,2.53
15103.06,2.79
15254.09,3.06
15406.63,3.32
15560.70,3.58
15716.30,3.79
15873.47,3.99
16032.20,4.18
16192.52,4.36
16354.45,4.34
16517.99,4.31
16683.17,4.29
16850.01,4.27
17018.51,4.25
17188.69,4.22
17360.58,4.07
17534.18,3.87
17709.53,3.67
17886.62,3.47
18065.49,3.29
18246.14,3.12
18428.60,2.94
18612.89,2.76
18799.02,2.69
18987.01,2.63
19176.88,2.57
19368.65,2.51
19562.33,2.46
19757.96,2.40
19955.54,2.34
